T [K],resistivity perpendicular [10e-8ohm-m],resistivity parallel [10e-8ohm-m],resistivity [10e-8ohm-m]
1,0.0072,0.0043,0.006233333333
4,0.0072,0.0043,0.006233333333
7,0.0072,0.0043,0.006233333333
10,0.0072,0.0043,0.006233333333
15,0.0073,0.0044,0.006333333333
20,0.0076,0.0046,0.0066
25,0.008,0.0049,0.006966666667
30,0.0086,0.0054,0.007533333333
35,0.0096,0.0062,0.008466666667
40,0.0109,0.0074,0.009733333333
45,0.0127,0.009,0.01146666667
50,0.015,0.0112,0.01373333333
60,0.0218,0.018,0.02053333333
70,0.0325,0.0293,0.03143333333
80,0.0483,0.0471,0.0479
90,0.0711,0.0736,0.07193333333
100,0.103,0.111,0.1056666667
110,0.144,0.163,0.1503333333
120,0.199,0.232,0.21
130,0.266,0.318,0.2833333333
140,0.349,0.424,0.374
150,0.447,0.55,0.4813333333
175,0.758,0.956,0.824
200,1.16,1.48,1.266666667
225,1.64,2.11,1.796666667
250,2.18,2.82,2.393333333
273.15,2.72,3.54,2.993333333
293,3.21,4.19,3.536666667
300,3.38,4.43,3.73
350,4.7,6.2,5.2
400,6.08,8.07,6.743333333
450,7.48,9.99,8.316666667
500,8.91,12,9.94
550,10.3,14,11.53333333
600,11.8,16,13.2
650,13.3,18.1,14.9
700,14.8,20.2,16.6
750,16.3,22.3,18.3
800,17.9,24.5,20.1
850,19.5,26.7,21.9
900,21.1,28.9,23.7
950,22.7,31.2,25.53333333
1000,24.4,33.5,27.43333333
1100,27.8,38.3,31.3
1200,31.5,43.3,35.43333333
